3	1	3	0	0
1	0	3	1	0
2	1	0	1	0
0	2	2	1	0
4	2	4	1	0
2	1	1	1	0
2	1	1	1	0
0	2	0	2	0
4	0	1	2	0
1	1	1	2	0
2	0	4	3	0
0	0	1	3	0
4	2	3	3	0
4	1	1	3	0
4	0	1	3	0
2	0	4	3	0
2	0	4	3	0
0	1	3	3	0
3	0	1	3	0
1	0	0	3	0
2	1	4	4	0
2	1	0	4	0
1	1	1	5	0
0	1	4	5	0
1	2	3	6	0
4	1	4	6	0
4	2	2	6	0
0	2	3	7	0
3	1	2	8	0
0	2	2	8	0
4	0	2	9	0
1	0	3	10	0
2	2	0	10	0
0	1	1	10	0
3	0	0	10	0
2	2	2	10	0
1	1	3	10	0
0	0	1	11	0
0	1	3	11	0
2	0	4	11	0
1	2	0	12	0
1	2	2	13	0
1	1	3	13	0
3	0	4	13	0
3	2	4	14	0
4	1	3	14	0
3	2	1	15	0
2	0	3	15	0
0	1	1	15	0
3	2	4	15	0
